frame.time_epoch,ip.src,ip.dst,ip.proto,_ws.col.protocol,frame.len
"1744447562.235657000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447562.240391000","23.11.215.147","192.168.1.13","17","QUIC","64"
"1744447562.240628000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447562.293864000","216.239.34.180","192.168.1.13","17","UDP","577"
"1744447562.293864000","216.239.34.180","192.168.1.13","17","UDP","100"
"1744447562.293864000","216.239.34.180","192.168.1.13","17","UDP","65"
"1744447562.299590000","192.168.1.13","216.239.34.180","17","UDP","82"
"1744447562.316885000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.316885000","23.11.215.147","192.168.1.13","17","QUIC","341"
"1744447562.316885000","23.11.215.147","192.168.1.13","17","QUIC","91"
"1744447562.316885000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.316885000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.316885000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.316885000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.316885000","23.11.215.147","192.168.1.13","17","QUIC","440"
"1744447562.317738000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447562.318187000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447562.318491000","192.168.1.13","23.11.215.147","17","QUIC","79"
"1744447562.318637000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447562.318715000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447562.321129000","216.239.34.180","192.168.1.13","17","UDP","68"
"1744447562.347805000","23.11.215.147","192.168.1.13","17","QUIC","66"
"1744447562.347874000","192.168.1.13","23.11.215.147","17","QUIC","76"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","163"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","135"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","66"
"1744447562.922388000","23.11.215.147","192.168.1.13","17","QUIC","163"
"1744447562.922976000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447562.923407000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447562.923468000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447562.923514000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447562.923573000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447562.923618000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447562.923679000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447562.923731000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447562.923781000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447562.923836000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447563.060094000","192.168.1.13","23.11.215.147","17","QUIC","1008"
"1744447563.065382000","192.168.1.13","23.11.215.147","17","QUIC","545"
"1744447563.075259000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.075259000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.081188000","192.168.1.13","23.11.215.147","17","QUIC","73"
"1744447563.104097000","192.168.1.13","103.57.86.12","17","DNS","71"
"1744447563.104482000","192.168.1.13","103.57.86.12","17","DNS","71"
"1744447563.109511000","192.168.1.13","23.11.215.147","17","QUIC","454"
"1744447563.110056000","103.57.86.12","192.168.1.13","17","DNS","143"
"1744447563.113452000","103.57.86.12","192.168.1.13","17","DNS","144"
"1744447563.114176000","192.168.1.13","23.11.215.147","17","QUIC","177"
"1744447563.114438000","192.168.1.13","23.11.215.147","17","QUIC","359"
"1744447563.115016000","23.11.215.147","192.168.1.13","17","QUIC","69"
"1744447563.115335000","192.168.1.13","23.11.215.147","6","TLSv1.3","1343"
"1744447563.115504000","192.168.1.13","23.11.215.147","6","TLSv1.3","1050"
"1744447563.115562000","192.168.1.13","23.11.215.147","6","TLSv1.3","196"
"1744447563.115608000","192.168.1.13","23.11.215.147","6","TLSv1.3","201"
"1744447563.115677000","192.168.1.13","23.11.215.147","6","TLSv1.3","200"
"1744447563.115722000","192.168.1.13","23.11.215.147","6","TLSv1.3","200"
"1744447563.115767000","192.168.1.13","23.11.215.147","6","TLSv1.3","185"
"1744447563.115806000","192.168.1.13","23.11.215.147","6","TLSv1.3","202"
"1744447563.115857000","192.168.1.13","23.11.215.147","6","TLSv1.3","200"
"1744447563.118294000","192.168.1.13","23.11.215.147","17","QUIC","230"
"1744447563.118976000","192.168.1.13","23.11.215.147","17","QUIC","228"
"1744447563.119200000","192.168.1.13","23.11.215.147","17","QUIC","229"
"1744447563.119383000","192.168.1.13","23.11.215.147","17","QUIC","228"
"1744447563.119535000","192.168.1.13","23.11.215.147","17","QUIC","227"
"1744447563.119691000","192.168.1.13","23.11.215.147","17","QUIC","228"
"1744447563.119850000","192.168.1.13","23.11.215.147","17","QUIC","229"
"1744447563.120326000","192.168.1.13","23.11.215.147","17","QUIC","228"
"1744447563.120827000","192.168.1.13","23.11.215.147","17","QUIC","229"
"1744447563.120999000","192.168.1.13","23.11.215.147","17","QUIC","229"
"1744447563.121141000","192.168.1.13","23.11.215.147","17","QUIC","230"
"1744447563.123855000","23.11.215.147","192.168.1.13","17","QUIC","523"
"1744447563.123956000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447563.124089000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447563.124218000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447563.124229000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.124239000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447563.124259000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447563.124278000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447563.124292000","23.11.215.147","192.168.1.13","17","QUIC","640"
"1744447563.124305000","23.11.215.147","192.168.1.13","17","QUIC","64"
"1744447563.124318000","23.11.215.147","192.168.1.13","6","TCP","54"
"1744447563.124343000","23.11.215.147","192.168.1.13","17","QUIC","69"
"1744447563.124352000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.124357000","23.11.215.147","192.168.1.13","17","QUIC","69"
"1744447563.124371000","23.11.215.147","192.168.1.13","6","TCP","54"
"1744447563.124383000","23.11.215.147","192.168.1.13","6","TCP","54"
"1744447563.124395000","23.11.215.147","192.168.1.13","6","TCP","54"
"1744447563.124405000","23.11.215.147","192.168.1.13","6","TCP","54"
"1744447563.124416000","23.11.215.147","192.168.1.13","6","TCP","54"
"1744447563.124428000","23.11.215.147","192.168.1.13","6","TCP","54"
"1744447563.124438000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.124445000","23.11.215.147","192.168.1.13","6","TCP","54"
"1744447563.124456000","23.11.215.147","192.168.1.13","6","TCP","54"
"1744447563.124470000","23.11.215.147","192.168.1.13","17","QUIC","356"
"1744447563.124484000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447563.124508000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447563.124522000","23.11.215.147","192.168.1.13","17","QUIC","1494"
"1744447563.124536000","23.11.215.147","192.168.1.13","17","QUIC","383"
"1744447563.124540000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.124550000","23.11.215.147","192.168.1.13","17","QUIC","64"
"1744447563.124646000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.124776000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.124854000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.124926000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.130937000","23.11.215.147","192.168.1.13","17","QUIC","67"
"1744447563.130937000","23.11.215.147","192.168.1.13","6","TLSv1.3","603"
"1744447563.131127000","23.11.215.147","192.168.1.13","6","TLSv1.3","1114"
"1744447563.131152000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.131320000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.131457000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.131561000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.131672000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.131780000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.131884000","192.168.1.13","23.11.215.147","17","QUIC","74"
"1744447563.141622000","23.11.215.147","192.168.1.13","6","TLSv1.3","604"
"1744447563.141816000","23.11.215.147","192.168.1.13","6","TLSv1.3","839"
"1744447563.141816000","23.11.215.147","192.168.1.13","6","TLSv1.3","1506"
"1744447563.141857000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.141944000","23.11.215.147","192.168.1.13","6","TCP","1506"
"1744447563.141957000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.142065000","23.11.215.147","192.168.1.13","6","TLSv1.3","1253"
"1744447563.142132000","23.11.215.147","192.168.1.13","6","TLSv1.3","603"
"1744447563.142145000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.142159000","23.11.215.147","192.168.1.13","6","TLSv1.3","698"
"1744447563.142176000","23.11.215.147","192.168.1.13","6","TLSv1.3","1506"
"1744447563.142192000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.142310000","23.11.215.147","192.168.1.13","6","TCP","1506"
"1744447563.142443000","23.11.215.147","192.168.1.13","6","TLSv1.3","1253"
"1744447563.142443000","23.11.215.147","192.168.1.13","17","QUIC","170"
"1744447563.142443000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.142443000","23.11.215.147","192.168.1.13","6","TLSv1.3","603"
"1744447563.142523000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.142614000","23.11.215.147","192.168.1.13","6","TLSv1.3","861"
"1744447563.142614000","23.11.215.147","192.168.1.13","6","TLSv1.3","1506"
"1744447563.142614000","23.11.215.147","192.168.1.13","6","TLSv1.3","363"
"1744447563.142614000","23.11.215.147","192.168.1.13","6","TLSv1.3","604"
"1744447563.142653000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.142685000","23.11.215.147","192.168.1.13","6","TLSv1.3","861"
"1744447563.142685000","23.11.215.147","192.168.1.13","17","QUIC","198"
"1744447563.142685000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.142706000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.142768000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.142875000","23.11.215.147","192.168.1.13","6","TLSv1.3","1506"
"1744447563.142875000","23.11.215.147","192.168.1.13","6","TLSv1.3","259"
"1744447563.142902000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.142904000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.142928000","23.11.215.147","192.168.1.13","17","QUIC","170"
"1744447563.142928000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.144066000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.145036000","23.11.215.147","192.168.1.13","17","QUIC","172"
"1744447563.145036000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.145361000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.148458000","23.11.215.147","192.168.1.13","6","TLSv1.3","603"
"1744447563.148458000","23.11.215.147","192.168.1.13","6","TLSv1.3","861"
"1744447563.148458000","23.11.215.147","192.168.1.13","17","QUIC","199"
"1744447563.148458000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.148548000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.148634000","23.11.215.147","192.168.1.13","6","TLSv1.3","1220"
"1744447563.148634000","23.11.215.147","192.168.1.13","17","QUIC","172"
"1744447563.148634000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.149415000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.149661000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.153843000","23.11.215.147","192.168.1.13","17","QUIC","172"
"1744447563.153843000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.154262000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.158862000","23.11.215.147","192.168.1.13","17","QUIC","200"
"1744447563.158862000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.158862000","23.11.215.147","192.168.1.13","17","QUIC","199"
"1744447563.158862000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.159208000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.159347000","192.168.1.13","23.11.215.147","17","QUIC","78"
"1744447563.162065000","23.11.215.147","192.168.1.13","17","QUIC","173"
"1744447563.162065000","23.11.215.147","192.168.1.13","17","QUIC","64"
"1744447563.163953000","192.168.1.13","23.11.215.147","17","QUIC","79"
"1744447563.165169000","23.11.215.147","192.168.1.13","17","QUIC","203"
"1744447563.165169000","23.11.215.147","192.168.1.13","17","QUIC","64"
"1744447563.167642000","192.168.1.13","23.11.215.147","17","QUIC","79"
"1744447563.176024000","23.11.215.147","192.168.1.13","17","QUIC","67"
"1744447563.176024000","23.11.215.147","192.168.1.13","17","QUIC","67"
"1744447563.176024000","23.11.215.147","192.168.1.13","17","QUIC","67"
"1744447563.176024000","23.11.215.147","192.168.1.13","17","QUIC","67"
"1744447563.176024000","23.11.215.147","192.168.1.13","6","TLSv1.3","604"
"1744447563.176024000","23.11.215.147","192.168.1.13","6","TLSv1.3","884"
"1744447563.176024000","23.11.215.147","192.168.1.13","6","TLSv1.3","1506"
"1744447563.176024000","23.11.215.147","192.168.1.13","6","TLSv1.3","257"
"1744447563.176162000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.183719000","23.11.215.147","192.168.1.13","17","QUIC","67"
"1744447563.196104000","192.168.1.13","40.104.66.130","6","TCP","54"
"1744447563.210152000","23.11.215.147","192.168.1.13","6","TLSv1.3","603"
"1744447563.210245000","23.11.215.147","192.168.1.13","6","TLSv1.3","899"
"1744447563.210272000","192.168.1.13","23.11.215.147","6","TCP","54"
"1744447563.210300000","23.11.215.147","192.168.1.13","17","QUIC","111"
"1744447563.210347000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.210359000","23.11.215.147","192.168.1.13","17","QUIC","104"
"1744447563.210371000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.210865000","23.11.215.147","192.168.1.13","6","TLSv1.3","180"
"1744447563.213335000","192.168.1.13","23.11.215.147","17","QUIC","80"
"1744447563.231270000","192.168.1.13","23.11.215.147","17","QUIC","424"
"1744447563.232393000","192.168.1.13","23.11.215.147","17","QUIC","1285"
"1744447563.232453000","192.168.1.13","23.11.215.147","17","QUIC","1292"
"1744447563.232473000","192.168.1.13","23.11.215.147","17","QUIC","1292"
"1744447563.232495000","192.168.1.13","23.11.215.147","17","QUIC","1292"
"1744447563.232517000","192.168.1.13","23.11.215.147","17","QUIC","871"
"1744447563.234862000","23.11.215.147","192.168.1.13","17","QUIC","70"
"1744447563.237499000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447563.238151000","23.11.215.147","192.168.1.13","17","QUIC","71"
"1744447563.239545000","192.168.1.13","103.57.86.12","17","DNS","73"
"1744447563.239838000","192.168.1.13","103.57.86.12","17","DNS","73"
"1744447563.240695000","192.168.1.13","23.11.215.147","17","QUIC","75"
"1744447563.241046000","23.11.215.147","192.168.1.13","17","QUIC","880"
"1744447563.241046000","23.11.215.147","192.168.1.13","17","QUIC","63"
"1744447563.241131000","192.168.1.13","23.11.215.147","17","QUIC","461"
"1744447563.242520000","23.11.215.147","192.168.1.13","17","QUIC","66"
"1744447563.242520000","23.11.215.147","192.168.1.13","17","QUIC","66"
